asteroid_number,H_mag,status,family1,dv_fam1,near1,family2,dv_fam2,near2,rescod
2,4.17,3,2,0.0,0,0,0.0,0,0
3,5.36,3,3,0.0,0,0,0.0,0,0
4,3.31,3,4,0.0,0,0,0.0,0,0
5,6.93,3,5,0.0,0,0,0.0,0,0
10,5.43,3,10,0.0,0,0,0.0,0,8-4-3
15,5.29,3,15,0.0,0,0,0.0,0,0
20,6.47,3,20,0.0,0,0,0.0,0,0
24,7.21,3,24,0.0,0,0,0.0,0,0
25,7.81,3,25,0.0,0,0,0.0,0,0
31,6.78,3,31,0.0,0,0,0.0,0,0
62,8.62,3,24,0.0,0,0,0.0,0,0
63,7.48,1,4,0.0,0,0,0.0,0,0
85,7.66,3,15,0.0,0,0,0.0,0,0
87,6.68,3,87,0.0,0,0,0.0,0,0
90,7.84,3,24,0.0,0,0,0.0,0,0
91,8.75,3,5,0.0,0,0,0.0,0,0
93,7.78,3,93,0.0,0,0,0.0,0,0
96,7.59,3,96,0.0,0,0,0.0,0,0
100,7.65,3,10,0.0,0,0,0.0,0,0
104,8.18,3,24,0.0,0,0,0.0,0,0
108,7.94,3,10,0.0,0,0,0.0,0,0
110,7.77,3,110,0.0,0,0,0.0,0,0
135,8.15,3,135,0.0,0,0,0.0,0,0
142,10.11,3,135,0.0,0,0,0.0,0,0
145,8.08,3,145,0.0,0,0,0.0,0,0
148,7.63,3,148,0.0,0,0,0.0,0,0
153,7.45,3,153,0.0,0,0,0.0,0,3/2J
158,9.13,3,158,0.0,0,0,0.0,0,0
159,8.25,1,159,0.0,0,0,0.0,0,0
163,9.44,1,163,0.0,0,0,0.0,0,0
166,9.81,3,145,0.0,0,0,0.0,0,7-4-2
167,9.13,3,158,0.0,0,0,0.0,0,0
170,9.18,3,170,0.0,0,0,0.0,0,0
171,8.41,3,24,0.0,0,0,0.0,0,0
173,7.62,3,15,0.0,0,0,0.0,0,0
179,8.12,3,179,0.0,0,0,0.0,0,0
194,7.71,3,194,0.0,0,0,0.0,0,2+2-1
208,9.07,3,158,0.0,0,0,0.0,0,0
221,7.75,3,221,0.0,0,0,0.0,0,0
222,9.49,3,24,0.0,0,0,0.0,0,0
223,9.74,3,24,0.0,0,0,0.0,0,0
243,9.89,3,158,0.0,0,0,0.0,0,0
251,9.95,3,221,0.0,0,0,0.0,0,0
255,10.21,3,93,0.0,0,0,0.0,0,0
258,8.4,3,15,0.0,0,0,0.0,0,2+2-1
260,9.03,3,260,0.0,0,0,0.0,0,0
262,11.21,3,5,0.0,0,0,0.0,0,0
263,10.2,3,158,0.0,0,0,0.0,0,0
268,8.3,3,24,0.0,0,0,0.0,0,0
277,9.72,3,158,0.0,0,0,0.0,0,0
283,8.49,3,283,0.0,0,0,0.0,0,0
290,11.89,3,25,0.0,0,0,0.0,0,0
293,10.09,3,293,0.0,0,0,0.0,0,0
298,11.16,3,298,0.0,0,0,0.0,0,0
302,11.01,1,302,0.0,0,0,0.0,0,0
311,9.79,3,158,0.0,0,0,0.0,0,0
316,9.95,3,24,0.0,0,0,0.0,0,0
320,10.68,3,221,0.0,0,0,0.0,0,0
321,9.88,3,158,0.0,0,0,0.0,0,0
323,9.49,3,25,0.0,0,0,0.0,0,0
326,9.29,3,25,0.0,0,0,0.0,0,0
339,9.35,3,221,0.0,0,0,0.0,0,0
355,10.24,3,5,0.0,0,0,0.0,0,0
363,8.93,3,110,0.0,0,0,0.0,0,0
375,7.46,3,375,0.0,0,0,0.0,0,0
379,8.82,3,24,0.0,0,0,0.0,0,0
383,9.74,3,24,0.0,0,0,0.0,0,0
396,10.0,1,396,0.0,0,0,0.0,0,0
410,8.2,3,410,0.0,0,0,0.0,0,0
423,7.16,3,221,0.0,0,0,0.0,0,1+3-1
431,8.81,3,24,0.0,0,0,0.0,0,0
434,11.18,3,434,0.0,0,0,0.0,0,0
450,10.02,3,221,0.0,0,0,0.0,0,0
452,11.86,3,158,0.0,0,0,0.0,0,0
461,10.4,3,24,0.0,0,0,0.0,0,0
462,9.3,3,158,0.0,0,0,0.0,0,0
468,9.69,3,24,0.0,0,0,0.0,0,8-4-3
472,8.77,3,170,0.0,0,0,0.0,0,0
473,11.7,3,15,0.0,0,0,0.0,0,0
480,8.3,3,480,0.0,0,0,0.0,0,0
490,8.47,3,490,0.0,0,0,0.0,0,5-2-2
