asteroid_number,H,da_AU,D_deg,f_degy,e_p,g_arcsec_y,sin_i_p,s_arcsec_y,L,My
588,8.26,0.0314,6.44,2.434,0.1036,344.39,0.197,-11.03,4,5
617,8.23,0.0238,5.05,2.35,0.1007,310.64,0.3664,-6.77,5,5
624,7.35,0.0874,18.83,2.317,0.0541,335.59,0.3258,-12.8,4,5
659,8.7,0.0487,9.87,2.466,0.1296,355.29,0.0875,-16.24,4,5
884,8.73,0.0524,10.8,2.423,0.0879,353.51,0.1762,-12.03,5,50
911,8.01,0.0779,16.97,2.29,0.021,317.25,0.3865,-8.61,4,5
1143,8.4,0.0481,9.85,2.44,0.0522,365.41,0.0691,-10.91,4,5
1172,8.33,0.0484,10.21,2.366,0.0604,331.47,0.3057,-7.92,5,5
1173,8.89,0.1106,23.4,2.362,0.0926,380.95,0.1403,-24.25,5,50
1208,8.99,0.0474,10.75,2.201,0.0524,229.49,0.543,-0.61,5,50
1404,9.41,0.0932,20.14,2.31,0.0763,334.44,0.3277,-15.15,4,5
1437,8.29,0.1268,28.62,2.213,0.0317,66.48,0.3755,-19.6,4,50
1583,8.62,0.1065,24.38,2.181,0.0189,282.16,0.4857,-10.85,4,5
1647,10.57,0.0387,7.93,2.439,0.0588,359.32,0.1166,-9.96,4,5
1749,9.54,0.0664,13.69,2.422,0.0687,366.12,0.1187,-13.62,4,5
1867,8.43,0.0787,17.63,2.229,0.0297,286.69,0.474,-6.32,5,5
1868,9.61,0.1066,23.02,2.313,0.1018,346.1,0.289,-20.98,4,50
1869,11.17,0.1023,21.44,2.381,0.0608,356.87,0.0598,-20.47,4,50
1870,10.73,0.0462,9.5,2.429,0.0171,363.52,0.1115,-9.48,5,5
1871,11.27,0.1286,27.82,2.31,0.0144,401.69,0.1295,-25.44,5,5
1872,10.86,0.1091,23.55,2.313,0.015,364.7,0.2536,-17.98,5,5
1873,10.26,0.0558,11.97,2.327,0.1173,308.03,0.3792,-10.44,5,5
2146,10.0,0.0161,3.74,2.15,0.0651,227.28,0.6123,3.28,4,50
2148,10.84,0.0224,4.6,2.43,0.024,354.54,0.1552,-7.46,4,5
2207,8.96,0.0777,16.1,2.41,0.0624,348.18,0.1082,-14.93,5,50
2223,9.24,0.0651,13.79,2.359,0.038,340.31,0.2882,-9.48,5,5
2241,8.62,0.0595,12.56,2.365,0.1009,329.02,0.3079,-11.52,5,5
2260,9.46,0.0192,4.02,2.385,0.0197,334.39,0.283,-5.25,4,5
2357,9.07,0.0337,6.88,2.448,0.0481,363.27,0.0481,-9.59,5,5
2363,8.97,0.0784,17.99,2.177,0.0333,259.83,0.5399,-4.07,5,5
2456,9.4,0.0772,16.34,2.36,0.0388,172.46,0.2567,-11.66,4,50
2594,11.88,0.1413,30.91,2.282,0.071,399.57,0.1028,-33.45,5,50
2674,9.2,0.0345,7.01,2.461,0.088,360.4,0.0365,-11.72,5,5
2759,10.07,0.0476,10.17,2.337,0.0873,314.27,0.3659,-7.76,4,5
2797,8.94,0.1044,22.94,2.274,0.0772,327.78,0.3578,-16.66,4,50
2893,9.11,0.0779,16.4,2.372,0.0471,356.05,0.2289,-12.89,5,5
